Rank,Consonant Cluster,Count,% of Total Frequency
1,ng,7774,12%
2,nd,5756,9%
3,th,5087,8%
4,kh,3586,5%
5,ph,3217,5%
6,nt,2842,4%
7,kw,2446,4%
8,ny,2336,4%
9,hl,2336,4%
10,ts,2028,3%
11,sh,1963,3%
12,mb,1933,3%
13,nz,1761,3%
14,nk,1587,2%
15,nc,1523,2%
16,bh,1474,2%
17,lw,1405,2%
18,dl,1283,2%
19,tsh,1173,2%
20,ty,976,1%
21,ndl,770,1%
22,nts,662,1%
23,cw,619,1%
24,ch,609,1%
25,gq,602,1%
26,xh,573,1%
27,qh,565,1%
28,ncw,536,1%
29,mv,523,1%
30,nj,485,1%
31,mp,477,1%
32,dw,437,1%
33,nq,419,1%
34,gr,418,1%
35,mf,388,1%
36,tw,386,1%
37,sw,379,1%
38,gc,334,1%
39,ntw,329,0%
40,ntl,273,0%
41,khw,237,0%
42,nw,230,0%
43,ngq,222,0%
44,qw,221,0%
45,zw,216,0%
46,gx,213,0%
47,ngx,187,0%
48,rh,172,0%
49,nx,170,0%
50,ngc,168,0%
51,gw,167,0%
52,nkw,164,0%
53,nqw,152,0%
54,ntsh,147,0%
55,nkc,146,0%
56,kr,139,0%
57,ngw,132,0%
58,ndw,114,0%
59,tr,112,0%
60,thw,89,0%
61,tyh,81,0%
62,tsw,67,0%
63,dy,55,0%
64,nty,52,0%
65,shw,48,0%
66,hlw,37,0%
67,krw,37,0%
68,nkq,35,0%
69,chw,31,0%
70,tyw,30,0%
71,qhw,29,0%
72,ndlw,28,0%
73,xw,27,0%
74,gcw,26,0%
75,nkx,14,0%
76,nzw,10,0%
77,nyh,10,0%
78,nxw,6,0%
79,ngcw,5,0%
80,gqw,2,0%
81,ntyw,1,0%
82,dz,0,0%
,,66299,100%
