Word,Count
ukuba,133
watsho,87
kodwa,75
xa,71
le,47
waza,46
emva,42
kwaye,42
ukuze,34
into,34
kakhulu,33
yakhe,29
izilwanyana,29
story,28
njengoko,28
kuba,27
abantu,26
umntu,23
nto,23
nje,22
ibe,22
ke,21
kunye,20
unkomo,20
wakhe,20
yonke,19
nalibali.org,18
author,18
illustrator,18
this,18
is,18
also,18
available,18
in:,18
english,18
afrikaans,18
isizulu,18
sepedi,18
sesotho,18
ngoko,18
indodana,18
umvolofu,18
la,17
okanye,17
setswana,16
xitsonga,16
kanye,16
koko,16
ulegotlo,16
zonke,16
